Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
HTOO,0.0663,0.3223,-0.2095,-0.0533,-0.7241,-0.4315,0.0436,0.053899999999999997,3.0,173910.0,2.03,0.32,-0.035,352935.0
WDC,0.0018,0.322,-0.04,0.0213,-0.0971,0.1061,0.0161,0.0241,1.46,8630000.0,0.67,49.84,0.0070999999999999995,5802777.0
VYX,0.0037,0.32159999999999994,-0.0784,-0.2034,-0.1993,-0.21030000000000001,0.0288,0.0385,1.4,2250000.0,1.11,10.93,0.039,2488893.0
QQQP,-0.0196,0.3214,-0.1143,0.0141,,-0.0346,0.0118,0.0236,,13420.0,0.23,25.98,0.0014000000000000002,3053.0
BTBT,0.2379,0.3212,-0.059000000000000004,-0.3657,-0.0341,-0.1297,0.040999999999999995,0.048799999999999996,1.0,15140000.0,1.84,2.55,0.0537,27886722.0
SKYX,-0.0571,0.32,-0.25,0.2336,0.4353,0.1379,0.0482,0.0554,1.0,417940.0,1.4,1.32,-0.0897,585315.0
GCL,0.22219999999999998,0.32,-0.29969999999999997,-0.7622,-0.7454000000000001,-0.7698,0.1461,0.069,,505590.0,0.99,2.64,-0.0571,502439.0
GUTS,0.0636,0.3195,0.2359,-0.1481,-0.7482,-0.1481,0.1537,0.0933,1.0,254800.0,0.42,1.75,-0.0462,106551.0
AIFU,-0.0287,0.3193,-0.4999,-0.8504,-0.9492,-0.8464,0.0552,0.16570000000000001,3.0,565880.0,0.32,3.38,0.056299999999999996,181113.0
CLNE,-0.051,0.3191,-0.3357,-0.3086,-0.259,-0.259,0.032,0.0567,1.2,2960000.0,0.79,1.86,0.0109,2350038.0
SES,0.0562,0.3179,0.0737,2.3929,-0.268,-0.5588000000000001,0.0828,0.0707,2.33,21150000.0,0.63,0.97,0.03,13390538.0
JFU,0.0758,0.3179,-0.0719,-0.0139,-0.5267000000000001,-0.0596,0.028900000000000002,0.053099999999999994,3.0,10790.0,0.11,1.42,0.0216,1232.0
CDE,0.0418,0.31739999999999996,0.4139,0.1804,0.29309999999999997,0.3497,0.0285,0.0562,1.11,19240000.0,0.81,7.72,-0.0103,15537687.0
PGRE,0.2114,0.3172,0.2677,0.2191,0.2418,0.15990000000000001,0.0555,0.0359,3.0,2430000.0,1.6,5.73,-0.0052,3883664.0
ACHR,-0.1304,0.31679999999999997,0.161,1.4036000000000002,1.8883,0.0872,0.067,0.0733,1.6,27710000.0,1.13,10.6,-0.0203,31338503.0
ARKD,0.053399999999999996,0.3161,0.0154,-0.0369,0.1775,0.0449,0.0189,0.026099999999999998,,5700.0,0.25,49.13,0.0349,1401.0
RRX,-0.0336,0.3159,0.0026,-0.21739999999999998,-0.15710000000000002,-0.1298,0.0216,0.0371,1.31,851470.0,0.67,135.0,0.0025,568032.0
NGS,-0.041100000000000005,0.3156,-0.09179999999999999,-0.0388,0.0331,-0.1026,0.0339,0.0464,1.0,79560.0,0.68,24.05,0.0017000000000000001,54031.0
SEI,0.1257,0.31489999999999996,-0.2928,0.2869,1.7462,-0.1164,0.0858,0.0464,1.0,1690000.0,1.54,25.43,0.1703,2591405.0
MSGM,0.2114,0.3128,1.3651,1.7091,0.1245,1.2239,0.0151,0.05,3.0,770810.0,0.06,2.98,0.013600000000000001,43103.0
CVAC,0.2146,0.3123,0.2606,0.6124,0.2235,0.21989999999999998,0.08439999999999999,0.0509,2.0,640460.0,1.1,4.16,0.0667,705976.0
PSTG,0.0103,0.312,-0.1386,0.1319,-0.0677,-0.0876,0.0139,0.024399999999999998,1.67,3080000.0,0.65,56.05,0.011699999999999999,2017664.0
CTEV,0.0658,0.3119,-0.0044,3.9156999999999997,0.3345,0.9723,0.0196,0.0416,2.33,93170.0,1.14,29.15,0.0129,106211.0
CAS,-0.0215,0.3116,0.12390000000000001,,,0.1519,0.0127,0.0182,,1220.0,0.0,28.77,0.0,0.0
MKTW,0.0719,0.31120000000000003,0.5009,0.8364,-0.4072,0.6503,0.0187,0.0336,3.0,41380.0,0.68,17.75,0.038599999999999995,28171.0
DDS,0.03,0.3111,-0.12380000000000001,0.0365,0.0265,-0.0208,0.0429,0.032400000000000005,4.0,169360.0,1.21,422.75,0.0455,205085.0
MGNI,-0.0176,0.3109,-0.1176,-0.0026,0.38299999999999995,-0.020099999999999996,0.034,0.0472,1.14,2830000.0,0.47,15.6,0.0058,1345309.0
CHEK,-0.060899999999999996,0.3109,0.1005,0.0653,-0.6091,-0.1392,0.027999999999999997,0.08220000000000001,3.0,202360.0,0.24,0.85,-0.0329,49535.0
KALA,0.2702,0.3109,-0.384,-0.3803,-0.3831,-0.4107,0.0649,0.0699,1.0,54210.0,0.37,4.09,0.0849,20269.0
SMLR,0.4133,0.3107,-0.058899999999999994,-0.0483,0.9135,-0.168,0.0479,0.0776,1.0,577500.0,4.11,44.93,0.0009,2373175.0
NEOV,-0.1059,0.3105,-0.1059,-0.4533,0.2756,-0.44909999999999994,0.0353,0.06559999999999999,1.0,234920.0,0.39,2.87,0.006999999999999999,91750.0
MCVT,0.092,0.3103,-0.06860000000000001,-0.0104,-0.28300000000000003,-0.026699999999999998,0.0207,0.0235,1.0,46430.0,1.08,1.9,-0.0104,50183.0
AKBA,0.1142,0.3102,0.5722,0.5722,1.4609,0.48950000000000005,0.046900000000000004,0.035699999999999996,1.0,4710000.0,0.83,2.83,0.0070999999999999995,3913672.0
